# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sun Dec 12 13:44:06 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.95424 0.0900000036 1.0816895962    0.090 -3.423  3.3624  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-17      0.00 7.081e-01 2.766e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.328 22.604 19.981 18.143 15.990 13.740 11.237 10.622 10.333
0.0152 0.01508 9.95424 0.1000000015 1.1711064577    0.100 -3.241  3.3883  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.85e-17      0.00 7.078e-01 2.770e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.872 22.085 19.497 17.669 15.528 13.284 10.782 10.168 9.875
0.0152 0.01508 9.95424 0.1096613109 1.2470902205    0.110 -3.107  3.4059  5.160    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.81e-17      0.00 7.074e-01 2.773e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.537 21.706 19.143 17.322 15.189 12.949 10.448 9.835 9.539
0.0152 0.01508 9.95424 0.1200000122 1.3193155527    0.120 -2.976  3.4232  5.137    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-16      0.00 7.070e-01 2.778e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.209 21.008 18.572 16.778 14.725 12.539 10.135 9.522 9.223
0.0152 0.01508 9.95424 0.1400000006 1.4384527206    0.140 -2.792  3.4434  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-16      0.00 7.063e-01 2.784e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.750 19.461 17.355 15.649 13.834 11.818 9.724 9.108 8.808
0.0152 0.01508 9.95424 0.1509244740 1.4945563078    0.151 -2.712  3.4511  5.085    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.8e-16      0.00 7.059e-01 2.788e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.551 18.890 16.890 15.215 13.483 11.532 9.543 8.926 8.628
0.0152 0.01508 9.95424 0.1599999964 1.5372931957    0.160 -2.651  3.4570  5.073    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-16      0.00 7.057e-01 2.791e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.396 18.454 16.535 14.877 13.208 11.314 9.403 8.786 8.489
0.0152 0.01508 9.95424 0.2000000030 1.6938791275    0.200 -2.432  3.4758  5.026    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-16      0.00 7.046e-01 2.801e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.849 17.112 15.410 13.811 12.325 10.597 8.901 8.281 7.993
0.0152 0.01508 9.95424 0.2500000000 1.8403258324    0.250 -2.220  3.4921  4.976    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-16      0.00 7.038e-01 2.809e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.319 15.995 14.440 12.876 11.523 9.948 8.412 7.790 7.512
0.0152 0.01508 9.95424 0.3000000119 1.9529139996    0.300 -2.055  3.5027  4.932    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.01e-17      0.00 7.035e-01 2.812e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.906 15.259 13.782 12.252 10.969 9.477 8.024 7.399 7.130
0.0152 0.01508 9.95424 0.3217037022 1.9944417477    0.322 -1.988  3.5066  4.912    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.24e-16      0.00 7.062e-01 2.786e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.739 14.980 13.529 12.012 10.754 9.290 7.865 7.239 6.973
0.0152 0.01508 9.95424 0.3500000238 2.0434176922    0.350 -1.906  3.5114  4.886    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.18e-16      0.00 7.089e-01 2.758e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.536 14.648 13.226 11.723 10.494 9.065 7.673 7.044 6.783
0.0152 0.01508 9.95424 0.4000000358 2.1185026169    0.400 -1.762  3.5225  4.844    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-15      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.175 14.032 12.656 11.180 10.009 8.658 7.339 6.703 6.451
0.0152 0.01508 9.95424 0.4500000477 2.1822810173    0.450 -1.612  3.5349  4.794    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.800 13.422 12.075 10.628 9.512 8.241 6.995 6.349 6.107
0.0152 0.01508 9.95424 0.5000000000 2.2374541759    0.500 -1.454  3.5502  4.743    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.66e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.404 12.791 11.455 10.036 8.977 7.803 6.638 5.981 5.751
0.0152 0.01508 9.95424 0.5500000119 2.2836582661    0.550 -1.277  3.5702  4.688    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.05e-15      0.00 7.297e-01 2.560e-01 2.564e-03 6.920e-04 6.277e-03 -1.000 1.427e-02 7.964 12.106 10.752 9.352 8.355 7.319 6.253 5.580 5.368
0.0152 0.01508 9.95424 0.6000000238 2.3211214542    0.600 -1.104  3.5951  4.653    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -6.02e-15      0.00 7.328e-01 2.531e-01 2.539e-03 6.853e-04 6.218e-03 -1.000 1.415e-02 7.531 11.416 10.027 8.661 7.725 6.852 5.885 5.193 5.016
0.0152 0.01508 9.95424 0.6499999762 2.3520355225    0.650 -0.927  3.6255  4.632    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -8.9e-15      0.00 7.356e-01 2.504e-01 2.516e-03 6.792e-04 6.164e-03 -1.000 1.402e-02 7.088 10.655 9.227 7.950 7.087 6.383 5.512 4.823 4.693
0.0152 0.01508 9.95424 0.6624510884 2.3589038849    0.662 -0.883  3.6334  4.628    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -9.8e-15      0.00 7.363e-01 2.498e-01 2.510e-03 6.778e-04 6.151e-03 -1.000 1.398e-02 6.978 10.435 9.015 7.769 6.930 6.268 5.422 4.739 4.621
0.0152 0.01508 9.95424 0.7000000477 2.3779268265    0.700 -0.755  3.6564  4.615    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-14      0.00 7.383e-01 2.478e-01 2.494e-03 6.735e-04 6.112e-03 -1.000 1.389e-02 6.657 9.661 8.384 7.246 6.485 5.933 5.165 4.529 4.435
0.0152 0.01508 9.95424 0.7224427462 2.3882172108    0.722 -0.678  3.6698  4.607    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -1.54e-14      0.00 7.396e-01 2.466e-01 2.468e-03 6.701e-04 6.086e-03 -1.000 1.386e-02 6.466 9.160 8.017 6.948 6.241 5.733 5.014 4.419 4.335
0.0152 0.01508 9.95424 0.7479991913 2.3990747929    0.748 -0.593  3.6846  4.595    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-14      0.00 7.411e-01 2.452e-01 2.439e-03 6.663e-04 6.057e-03 -1.000 1.375e-02 6.252 8.611 7.629 6.631 5.983 5.513 4.847 4.302 4.224
0.0152 0.01508 9.95424 0.7500000000 2.3998889923    0.750 -0.586  3.6858  4.594    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-14      0.00 7.412e-01 2.451e-01 2.437e-03 6.661e-04 6.054e-03 -1.000 1.378e-02 6.236 8.571 7.600 6.607 5.963 5.496 4.833 4.292 4.215
0.0152 0.01508 9.95424 0.7581477165 2.4031536579    0.758 -0.560  3.6896  4.588    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.02e-14      0.00 7.418e-01 2.444e-01 2.431e-03 6.646e-04 6.041e-03 -1.000 1.376e-02 6.170 8.427 7.494 6.517 5.888 5.430 4.780 4.250 4.174
0.0152 0.01508 9.95424 0.7808380723 2.4118335247    0.781 -0.487  3.7002  4.570    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.437e-01 2.426e-01 2.416e-03 6.605e-04 6.005e-03 -1.000 1.362e-02 5.988 8.021 7.203 6.274 5.684 5.248 4.634 4.136 4.065
0.0152 0.01508 9.95424 0.8000000119 2.4187245369    0.800 -0.426  3.7089  4.554    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.78e-14      0.00 7.453e-01 2.411e-01 2.403e-03 6.571e-04 5.974e-03 -1.000 1.356e-02 5.834 7.700 6.970 6.076 5.516 5.096 4.511 4.039 3.972
0.0152 0.01508 9.95424 0.8162178993 2.4242670536    0.816 -0.374  3.7159  4.539    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.16e-14      0.00 7.468e-01 2.397e-01 2.390e-03 6.536e-04 5.943e-03 -1.000 1.351e-02 5.704 7.437 6.779 5.914 5.376 4.969 4.407 3.954 3.890
0.0152 0.01508 9.95424 0.8346722126 2.4302732944    0.834 -0.314  3.7236  4.520    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.66e-14      0.00 7.486e-01 2.380e-01 2.376e-03 6.498e-04 5.909e-03 -1.000 1.344e-02 5.555 7.149 6.568 5.733 5.219 4.825 4.287 3.855 3.794
0.0152 0.01508 9.95424 0.8500000238 2.4350347519    0.849 -0.265  3.7298  4.503    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.14e-14      0.00 7.501e-01 2.366e-01 2.364e-03 6.466e-04 5.880e-03 -1.000 1.338e-02 5.431 6.918 6.398 5.586 5.089 4.705 4.186 3.770 3.711
0.0152 0.01508 9.95424 0.8561889529 2.4369018078    0.855 -0.244  3.7322  4.495    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.36e-14      0.00 7.508e-01 2.359e-01 2.358e-03 6.450e-04 5.866e-03 -1.000 1.335e-02 5.381 6.828 6.329 5.527 5.037 4.657 4.145 3.735 3.678
0.0152 0.01508 9.95424 0.8740743995 2.4421269894    0.873 -0.185  3.7387  4.472    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.08e-14      0.00 7.529e-01 2.339e-01 2.341e-03 6.404e-04 5.825e-03 -1.000 1.325e-02 5.234 6.570 6.132 5.356 4.885 4.516 4.025 3.632 3.577
0.0152 0.01508 9.95424 0.8907883763 2.4467923641    0.890 -0.130  3.7446  4.447    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -5.88e-14      0.00 7.549e-01 2.320e-01 2.325e-03 6.361e-04 5.786e-03 -1.000 1.315e-02 5.094 6.328 5.950 5.199 4.745 4.386 3.912 3.532 3.481
0.0152 0.01508 9.95424 0.9000000358 2.4492788315    0.899 -0.099  3.7476  4.433    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.38e-14      0.00 7.560e-01 2.310e-01 2.316e-03 6.337e-04 5.765e-03 -1.000 1.307e-02 5.017 6.197 5.851 5.112 4.668 4.313 3.848 3.476 3.425
0.0152 0.01508 9.95424 0.9079261422 2.4513716698    0.907 -0.072  3.7501  4.420    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -6.86e-14      0.00 7.571e-01 2.299e-01 2.307e-03 6.312e-04 5.742e-03 -1.000 1.301e-02 4.950 6.087 5.766 5.038 4.601 4.250 3.792 3.425 3.376
0.0152 0.01508 9.95424 0.9181652069 2.4540138245    0.917 -0.036  3.7531  4.401    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -7.57e-14      0.00 7.586e-01 2.284e-01 2.295e-03 6.279e-04 5.713e-03 -1.000 1.296e-02 4.861 5.951 5.658 4.942 4.513 4.167 3.716 3.357 3.309
0.0152 0.01508 9.95424 0.9366014600 2.4586043358    0.936  0.028  3.7581  4.365    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -9.06e-14      0.00 7.613e-01 2.259e-01 2.273e-03 6.220e-04 5.660e-03 -1.000 1.288e-02 4.699 5.712 5.463 4.768 4.353 4.014 3.577 3.229 3.184
0.0152 0.01508 9.95424 0.9500000477 2.4618122578    0.949  0.076  3.7611  4.336    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 7.632e-01 2.240e-01 2.257e-03 6.178e-04 5.623e-03 -1.000 1.280e-02 4.581 5.548 5.325 4.643 4.236 3.903 3.473 3.132 3.088
0.0152 0.01508 9.95424 0.9540322423 2.4627573490    0.953  0.090  3.7620  4.327    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.08e-13      0.00 7.639e-01 2.233e-01 2.251e-03 6.162e-04 5.608e-03 -1.000 1.277e-02 4.546 5.501 5.284 4.606 4.201 3.869 3.442 3.103 3.059
0.0152 0.01508 9.95424 0.9693974257 2.4662761688    0.969  0.144  3.7644  4.289    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-13      0.00 7.663e-01 2.211e-01 2.232e-03 6.111e-04 5.563e-03 -1.000 1.264e-02 4.409 5.330 5.132 4.464 4.066 3.738 3.317 2.984 2.941
0.0152 0.01508 9.95424 0.9815039039 2.4689598083    0.981  0.191  3.7661  4.255    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-13      0.00 7.665e-01 2.208e-01 2.231e-03 6.108e-04 5.561e-03 -1.000 1.266e-02 4.293 5.189 5.003 4.344 3.951 3.626 3.210 2.880 2.838
0.0152 0.01508 9.95424 0.9832496047 2.4693403244    0.982  0.198  3.7664  4.250    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-13      0.00 7.665e-01 2.209e-01 2.231e-03 6.109e-04 5.562e-03 -1.000 1.267e-02 4.276 5.168 4.985 4.327 3.934 3.609 3.194 2.864 2.823
0.0152 0.01508 9.95424 0.9935632348 2.4715580940    0.993  0.240  3.7671  4.216    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1  -1.7e-13      0.00 7.658e-01 2.214e-01 2.238e-03 6.127e-04 5.577e-03 -1.000 1.273e-02 4.171 5.053 4.875 4.220 3.830 3.506 3.093 2.765 2.724
0.0152 0.01508 9.95424 1.0000000000 2.4729156494    0.999  0.266  3.7672  4.192    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-13      0.00 7.653e-01 2.220e-01 2.244e-03 6.145e-04 5.593e-03 -1.000 1.275e-02 4.104 4.983 4.806 4.153 3.763 3.440 3.027 2.700 2.658
0.0152 0.01508 9.95424 1.0100331306 2.4749917984    1.009  0.310  3.7665  4.150    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.11e-13      0.00 7.636e-01 2.235e-01 2.262e-03 6.193e-04 5.638e-03 -1.000 1.284e-02 3.994 4.880 4.699 4.044 3.653 3.329 2.914 2.585 2.543
0.0152 0.01508 9.95424 1.0166509151 2.4763355255    1.016  0.340  3.7653  4.118    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.31e-13      0.00 7.620e-01 2.251e-01 2.279e-03 6.242e-04 5.682e-03 -1.000 1.292e-02 3.920 4.819 4.631 3.972 3.578 3.253 2.834 2.502 2.460
0.0152 0.01508 9.95424 1.0187052488 2.4767487049    1.018  0.350  3.7647  4.107    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.39e-13      0.00 7.606e-01 2.264e-01 2.292e-03 6.277e-04 5.715e-03 -1.000 1.303e-02 3.896 4.803 4.611 3.949 3.555 3.228 2.807 2.474 2.432
0.0152 0.01508 9.95424 1.0270440578 2.4784057140    1.026  0.388  3.7606  4.056    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -2.71e-13      0.00 7.543e-01 2.324e-01 2.350e-03 6.436e-04 5.859e-03 -1.000 1.334e-02 3.801 4.757 4.539 3.861 3.458 3.125 2.693 2.351 2.307
0.0152 0.01508 9.95424 1.0346230268 2.4798851013    1.033  0.418  3.7525  3.996    2  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-13      0.00 7.448e-01 2.414e-01 2.431e-03 6.654e-04 6.055e-03 -1.000 1.376e-02 3.726 4.794 4.517 3.806 3.383 3.036 2.581 2.220 2.172
0.0152 0.01508 9.95424 1.0392949581 2.4807848930    1.038  0.428  3.7430  3.950    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-13      0.00 7.371e-01 2.488e-01 2.493e-03 6.821e-04 6.204e-03 -1.000 1.412e-02 3.700 4.905 4.551 3.804 3.358 2.997 2.515 2.131 2.080
0.0152 0.01508 9.95424 1.0424592495 2.4813890457    1.041  0.427  3.7323  3.910    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.43e-13      0.00 7.310e-01 2.546e-01 2.540e-03 6.947e-04 6.317e-03 -1.000 1.439e-02 3.703 5.064 4.627 3.839 3.368 2.990 2.475 2.064 2.009
0.0152 0.01508 9.95424 1.0446289778 2.4818007946    1.043  0.424  3.7220  3.872    2  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -3.54e-13      0.00 7.267e-01 2.587e-01 2.573e-03 7.033e-04 6.394e-03 -1.000 1.454e-02 3.710 5.232 4.711 3.883 3.386 2.990 2.443 2.004 1.944
0.0152 0.01508 9.95424 1.0466654301 2.4821853638    1.045  0.432  3.7117  3.824    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.79e-13      0.00 7.229e-01 2.624e-01 2.600e-03 7.105e-04 6.458e-03 -1.000 1.470e-02 3.691 5.384 4.772 3.905 3.381 2.967 2.385 1.917 1.854
0.0152 0.01508 9.95424 1.0486714840 2.4825627804    1.047  0.460  3.7031  3.762    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.31e-13      0.00 7.193e-01 2.659e-01 2.622e-03 7.165e-04 6.511e-03 -1.000 1.483e-02 3.619 5.460 4.772 3.872 3.323 2.894 2.283 1.790 1.723
0.0152 0.01508 9.95424 1.0497622490 2.4827671051    1.048  0.484  3.6992  3.723    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.74e-13      0.00 7.173e-01 2.679e-01 2.633e-03 7.194e-04 6.537e-03 -1.000 1.487e-02 3.561 5.467 4.747 3.831 3.272 2.836 2.212 1.707 1.639
0.0152 0.01508 9.95424 1.0499999523 2.4828116894    1.048  0.491  3.6986  3.714    2  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -4.88e-13      0.00 7.168e-01 2.683e-01 2.635e-03 7.200e-04 6.541e-03 -1.000 1.486e-02 3.542 5.459 4.734 3.815 3.255 2.817 2.191 1.685 1.616
