# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sun Dec 12 14:08:00 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.000152 -2.00981 9.67117 0.0939592868 1.1185684204    0.094 -3.045  3.5142  5.464    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.86e-17      0.00 7.495e-01 2.503e-01 2.884e-05 7.781e-06 7.057e-05 -1.000 1.603e-04 12.383 18.214 16.024 14.127 12.803 11.600 10.485 10.201 10.125
0.000152 -2.00981 9.67117 0.0953957289 1.1314520836    0.095 -3.001  3.5204  5.451    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.66e-17      0.00 7.494e-01 2.504e-01 2.884e-05 7.781e-06 7.057e-05 -1.000 1.604e-04 12.272 17.856 15.790 13.928 12.648 11.497 10.395 10.083 9.994
0.000152 -2.00981 9.67117 0.1032693684 1.1978503466    0.103 -2.768  3.5526  5.381    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-16      0.00 7.486e-01 2.512e-01 2.884e-05 7.781e-06 7.057e-05 -1.000 1.604e-04 11.691 16.094 14.576 12.963 11.858 10.947 9.929 9.498 9.371
0.000152 -2.00981 9.67117 0.1038885862 1.2027918100    0.104 -2.751  3.5551  5.376    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.42e-16      0.00 7.485e-01 2.513e-01 2.884e-05 7.781e-06 7.057e-05 -1.000 1.604e-04 11.647 15.970 14.488 12.894 11.800 10.905 9.893 9.456 9.327
0.000152 -2.00981 9.67117 0.1171588972 1.3002974987    0.117 -2.563  3.5740  5.317    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.21e-16      0.00 7.477e-01 2.521e-01 2.884e-05 7.781e-06 7.057e-05 -1.000 1.604e-04 11.178 14.903 13.680 12.242 11.239 10.448 9.491 9.004 8.860
0.000152 -2.00981 9.67117 0.1237471774 1.3435219526    0.123 -2.478  3.5826  5.290    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-16      0.00 7.473e-01 2.526e-01 2.884e-05 7.781e-06 7.057e-05 -1.000 1.605e-04 10.965 14.446 13.326 11.954 10.993 10.237 9.307 8.803 8.652
0.000152 -2.00981 9.67117 0.1436057836 1.4575822353    0.143 -2.307  3.5960  5.238    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.94e-16      0.00 7.464e-01 2.535e-01 2.884e-05 7.781e-06 7.057e-05 -1.000 1.604e-04 10.538 13.667 12.696 11.419 10.525 9.813 8.923 8.400 8.238
0.000152 -2.00981 9.67117 0.1490972489 1.4855467081    0.149 -2.269  3.5985  5.226    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.27e-16      0.00 7.461e-01 2.537e-01 2.884e-05 7.781e-06 7.057e-05 -1.000 1.604e-04 10.444 13.509 12.565 11.305 10.423 9.719 8.837 8.310 8.147
0.000152 -2.00981 9.67117 0.1634643823 1.5527840853    0.163 -2.177  3.6047  5.198    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.22e-16      0.00 7.456e-01 2.542e-01 2.884e-05 7.781e-06 7.058e-05 -1.000 1.604e-04 10.212 13.131 12.248 11.026 10.174 9.487 8.624 8.093 7.926
0.000152 -2.00981 9.67117 0.2031815797 1.7045624256    0.203 -1.969  3.6167  5.133    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.13e-16      0.00 7.447e-01 2.551e-01 2.884e-05 7.781e-06 7.058e-05 -1.000 1.604e-04 9.693 12.344 11.573 10.421 9.622 8.968 8.140 7.605 7.434
