# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sun Dec 12 13:45:41 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 10.04139 0.0900000036 1.0816895962    0.090 -3.423  3.3625  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.9e-17      0.00 7.079e-01 2.768e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.327 22.603 19.980 18.142 15.989 13.739 11.236 10.621 10.332
0.0152 0.01508 10.04139 0.1000000015 1.1711064577    0.100 -3.240  3.3884  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.6e-18      0.00 7.074e-01 2.773e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.870 22.084 19.496 17.668 15.527 13.282 10.781 10.167 9.874
0.0152 0.01508 10.04139 0.1055055186 1.2155165672    0.105 -3.162  3.3987  5.170    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.49e-18      0.00 7.072e-01 2.776e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.676 21.863 19.290 17.466 15.330 13.088 10.587 9.973 9.679
0.0152 0.01508 10.04139 0.1200000122 1.3193155527    0.120 -2.975  3.4233  5.137    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-16      0.00 7.065e-01 2.782e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.208 20.999 18.566 16.772 14.721 12.536 10.134 9.521 9.222
0.0152 0.01508 10.04139 0.1400000006 1.4384527206    0.140 -2.791  3.4435  5.101    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.53e-16      0.00 7.057e-01 2.791e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.749 19.454 17.349 15.644 13.830 11.815 9.722 9.107 8.807
0.0152 0.01508 10.04139 0.1482465565 1.4813030958    0.148 -2.731  3.4494  5.089    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.73e-16      0.00 7.053e-01 2.794e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.597 19.017 16.994 15.313 13.562 11.596 9.584 8.968 8.669
0.0152 0.01508 10.04139 0.1599999964 1.5372931957    0.160 -2.650  3.4571  5.072    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.05e-16      0.00 7.049e-01 2.798e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.394 18.445 16.528 14.870 13.203 11.310 9.401 8.784 8.487
0.0152 0.01508 10.04139 0.2000000030 1.6938791275    0.200 -2.429  3.4759  5.024    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.22e-16      0.00 7.037e-01 2.810e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.843 17.099 15.399 13.801 12.316 10.590 8.895 8.276 7.988
0.0152 0.01508 10.04139 0.2500000000 1.8403258324    0.250 -2.215  3.4922  4.972    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.23e-18      0.00 7.028e-01 2.819e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.308 15.979 14.427 12.864 11.511 9.937 8.401 7.779 7.502
0.0152 0.01508 10.04139 0.3000000119 1.9529139996    0.300 -2.050  3.5027  4.928    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.12e-18      0.00 7.025e-01 2.822e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.895 15.244 13.769 12.239 10.957 9.465 8.012 7.387 7.118
