# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sat Dec 11 23:31:47 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 10.11059 0.0900000036 1.0816895962    0.090 -3.422  3.3626  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-17      0.00 7.077e-01 2.771e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.326 22.602 19.979 18.141 15.988 13.738 11.235 10.620 10.331
0.0152 0.01508 10.11059 0.1000000015 1.1711064577    0.100 -3.240  3.3885  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.78e-21      0.00 7.071e-01 2.776e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.869 22.082 19.495 17.667 15.526 13.281 10.780 10.166 9.873
0.0152 0.01508 10.11059 0.1074069068 1.2301594019    0.107 -3.136  3.4022  5.166    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.98e-19      0.00 7.067e-01 2.780e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.610 21.788 19.220 17.398 15.263 13.022 10.521 9.908 9.612
0.0152 0.01508 10.11059 0.1200000122 1.3193155527    0.120 -2.975  3.4234  5.137    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-16      0.00 7.060e-01 2.787e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.207 20.990 18.559 16.766 14.717 12.533 10.133 9.520 9.221
0.0152 0.01508 10.11059 0.1400000006 1.4384527206    0.140 -2.791  3.4437  5.101    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.19e-19      0.00 7.050e-01 2.797e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.747 19.447 17.344 15.639 13.826 11.812 9.721 9.105 8.806
0.0152 0.01508 10.11059 0.1535338461 1.5071792603    0.153 -2.693  3.4531  5.081    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-18      0.00 7.044e-01 2.803e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.502 18.745 16.773 15.104 13.393 11.461 9.498 8.881 8.583
0.0152 0.01508 10.11059 0.1599999964 1.5372931957    0.160 -2.649  3.4573  5.072    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.17e-17      0.00 7.041e-01 2.806e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.392 18.436 16.521 14.864 13.198 11.306 9.399 8.782 8.485
0.0152 0.01508 10.11059 0.2000000030 1.6938791275    0.200 -2.427  3.4760  5.022    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.7e-19      0.00 7.028e-01 2.819e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.838 17.087 15.389 13.792 12.308 10.583 8.890 8.271 7.982
0.0152 0.01508 10.11059 0.2500000000 1.8403258324    0.250 -2.211  3.4922  4.968    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.99e-19      0.00 7.018e-01 2.829e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.298 15.964 14.414 12.852 11.499 9.927 8.391 7.769 7.491
0.0152 0.01508 10.11059 0.3000000119 1.9529139996    0.300 -2.045  3.5028  4.923    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.83e-20      0.00 7.016e-01 2.831e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.883 15.229 13.756 12.227 10.946 9.454 8.000 7.376 7.107
0.0152 0.01508 10.11059 0.3500000238 2.0434176922    0.350 -1.901  3.5115  4.881    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.77e-21      0.00 7.088e-01 2.760e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.523 14.631 13.210 11.708 10.480 9.052 7.661 7.032 6.770
0.0152 0.01508 10.11059 0.4000000358 2.1185026169    0.400 -1.756  3.5227  4.839    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-15      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.161 14.012 12.637 11.163 9.993 8.643 7.326 6.690 6.438
0.0152 0.01508 10.11059 0.4500000477 2.1822810173    0.450 -1.605  3.5353  4.789    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.88e-15      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.782 13.396 12.050 10.605 9.490 8.223 6.978 6.333 6.091
0.0152 0.01508 10.11059 0.5000000000 2.2374541759    0.500 -1.444  3.5511  4.737    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.74e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.379 12.755 11.418 10.000 8.945 7.777 6.616 5.958 5.729
0.0152 0.01508 10.11059 0.5500000119 2.2836582661    0.550 -1.259  3.5720  4.677    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -4.28e-15      0.00 7.381e-01 2.481e-01 2.491e-03 6.723e-04 6.100e-03 -1.000 1.388e-02 7.917 12.041 10.685 9.287 8.294 7.270 6.211 5.537 5.327
0.0152 0.01508 10.11059 0.6000000238 2.3211214542    0.600 -1.079  3.5981  4.639    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -6.48e-15      0.00 7.423e-01 2.441e-01 2.456e-03 6.632e-04 6.018e-03 -1.000 1.367e-02 7.468 11.326 9.931 8.571 7.642 6.787 5.829 5.134 4.962
0.0152 0.01508 10.11059 0.6499999762 2.3520355225    0.650 -0.893  3.6304  4.617    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -9.81e-15      0.00 7.461e-01 2.404e-01 2.426e-03 6.551e-04 5.946e-03 -1.000 1.352e-02 7.001 10.510 9.079 7.820 6.972 6.293 5.438 4.751 4.628
0.0152 0.01508 10.11059 0.7000000477 2.3779268265    0.700 -0.708  3.6627  4.594    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.48e-14      0.00 7.497e-01 2.369e-01 2.396e-03 6.473e-04 5.876e-03 -1.000 1.340e-02 6.541 9.395 8.181 7.077 6.342 5.813 5.068 4.451 4.361
0.0152 0.01508 10.11059 0.7140712738 2.3844656944    0.714 -0.656  3.6714  4.586    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-14      0.00 7.509e-01 2.358e-01 2.378e-03 6.444e-04 5.853e-03 -1.000 1.331e-02 6.411 9.064 7.942 6.881 6.181 5.678 4.964 4.375 4.291
0.0152 0.01508 10.11059 0.7321237326 2.3924326897    0.732 -0.590  3.6822  4.574    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -1.95e-14      0.00 7.524e-01 2.344e-01 2.353e-03 6.408e-04 5.823e-03 -1.000 1.324e-02 6.245 8.647 7.646 6.638 5.982 5.507 4.832 4.281 4.201
0.0152 0.01508 10.11059 0.7491573691 2.3995466232    0.749 -0.528  3.6922  4.561    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -1.33e-14      0.00 7.538e-01 2.330e-01 2.331e-03 6.374e-04 5.796e-03 -1.000 1.320e-02 6.089 8.287 7.384 6.420 5.802 5.349 4.708 4.185 4.111
0.0152 0.01508 10.11059 0.7500000000 2.3998889923    0.750 -0.524  3.6927  4.560    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-14      0.00 7.538e-01 2.330e-01 2.330e-03 6.372e-04 5.795e-03 -1.000 1.316e-02 6.081 8.269 7.371 6.410 5.793 5.341 4.702 4.181 4.107
0.0152 0.01508 10.11059 0.7567566633 2.4026019573    0.757 -0.500  3.6961  4.553    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-14      0.00 7.546e-01 2.323e-01 2.324e-03 6.355e-04 5.780e-03 -1.000 1.312e-02 6.020 8.136 7.276 6.329 5.725 5.281 4.653 4.142 4.070
0.0152 0.01508 10.11059 0.7713123560 2.4082610607    0.771 -0.447  3.7032  4.537    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -2.74e-14      0.00 7.562e-01 2.307e-01 2.311e-03 6.320e-04 5.748e-03 -1.000 1.307e-02 5.888 7.858 7.075 6.158 5.580 5.150 4.546 4.056 3.987
0.0152 0.01508 10.11059 0.7844287157 2.4131543636    0.784 -0.400  3.7095  4.522    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1  -9.4e-17      0.00 7.576e-01 2.294e-01 2.299e-03 6.289e-04 5.720e-03 -1.000 1.302e-02 5.769 7.617 6.898 6.007 5.450 5.031 4.448 3.978 3.911
